T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
73.0	9.535464766657747e-28	3.814185906663099e-29	7.696245385202874e-26	206891687879698.4	3.0784981540811493e-27	2.022680585803311e-25	543740199919981.0	8.090722343213244e-27
74.0	3.298922362558134e-27	1.3195689450232535e-28	2.755625433655181e-25	214118450518641.56	1.1022501734620725e-26	7.339027985482641e-25	570259397874728.2	2.9356111941930566e-26
75.0	1.1045204791773237e-26	4.418081916709295e-28	9.542549009177951e-25	221460679835808.78	3.8170196036711805e-26	2.5753936724141115e-24	597689813265944.5	1.0301574689656447e-25
76.0	3.5835036502374316e-26	1.4334014600949726e-27	3.200217465980407e-24	228916787320152.56	1.2800869863921629e-25	8.752071439834403e-24	626049978697172.6	3.500828575933761e-25
77.0	1.1279921596184342e-25	4.511968638473737e-27	1.0406482071623748e-23	236485142981765.3	4.162592828649499e-25	2.883892375973511e-23	655358550740005.1	1.1535569503894042e-24
78.0	3.448838724388363e-25	1.3795354897553453e-26	3.285100450735326e-23	244164078008815.94	1.3140401802941305e-24	9.224852387312989e-23	685634309115733.6	3.689940954925196e-24
79.0	1.0253853253968262e-24	4.101541301587305e-26	1.0078565243247318e-22	251951887384122.28	4.031426097298927e-24	2.8677239749290516e-22	716896155892991.9	1.1470895899716206e-23
80.0	2.9675876583972206e-24	1.1870350633588883e-25	3.008257312670294e-22	259846832457640.53	1.2033029250681176e-23	8.673091747420775e-22	749163114700884.8	3.46923669896831e-23
81.0	8.36863440888374e-24	3.347453763553496e-25	8.74451269357898e-22	267847143471498.1	3.4978050774315927e-23	2.554509908814394e-21	782454329957103.0	1.0218039635257575e-22
82.0	2.301714319006477e-23	9.206857276025908e-25	2.4778637606338158e-21	275951022034530.75	9.911455042535263e-23	7.334243635249324e-21	816789066110563.5	2.9336974540997296e-22
83.0	6.179955895283359e-23	2.4719823581133436e-24	6.850735301577457e-21	284156643543564.2	2.7402941206309825e-22	2.054537766099044e-20	852186706898116.5	8.218151064396176e-22
84.0	1.621172178349683e-22	6.484688713398732e-24	1.8496639073606943e-20	292462159549039.75	7.398655629442778e-22	5.62033332523113e-20	888666754614893.9	2.2481333300924522e-21
85.0	4.1585107337594435e-22	1.6634042935037774e-23	4.8809516282515284e-20	300865700062786.7	1.9523806513006115e-21	1.5026557467575108e-19	926248829397885.1	6.0106229870300434e-21
86.0	1.043878596053929e-21	4.175514384215716e-23	1.2598408795259164e-19	309365375806115.06	5.0393635181036656e-21	3.929614991478456e-19	964952668522348.9	1.5718459965913823e-20
87.0	2.56618883210649e-21	1.026475532842596e-22	3.1831280799246523e-19	317959280396589.2	1.2732512319698609e-20	1.0059153249485166e-18	1004798125710676.5	4.0236612997940667e-20
88.0	6.1824689941437014e-21	2.4729875976574806e-22	7.878301810823179e-19	326645492472159.3	3.151320724329272e-20	2.5223580174929542e-18	1045805170453348.0	1.0089432069971818e-19
89.0	1.4607113135362778e-20	5.842845254145111e-22	1.911393195066157e-18	335422077751502.2	7.645572780264629e-20	6.199902303625442e-18	1087993887341631.9	2.479960921450177e-19
90.0	3.386703970930516e-20	1.3546815883722064e-21	4.5487490081425786e-18	344287091029738.5	1.8194996032570315e-19	1.4947943575126093e-17	1131384475411689.0	5.979177430050437e-19
91.0	7.71026644991246e-20	3.084106579964984e-21	1.0625062960217609e-17	353238578108804.7	4.250025184087044e-19	3.537282043944518e-17	1175997247499771.2	1.4149128175778072e-18
92.0	1.7246383672134828e-19	6.898553468853931e-21	2.4374173597392694e-17	362274577662070.0	9.749669438957078e-19	8.220739168808331e-17	1221852629608188.8	3.2882956675233326e-18
93.0	3.792358053240548e-19	1.5169432212962192e-20	5.4946140171969683e-17	371393123032903.25	2.1978456068787875e-18	1.8773925235242358e-16	1268971160281766.2	7.509570094096945e-18
94.0	8.202361422812096e-19	3.2809445691248386e-20	1.2178472873690584e-16	380592243967091.6	4.871389149476233e-18	4.2154293910950487e-16	1317373489994487.5	1.6861717564380202e-17
95.0	1.745872234001721e-18	6.983488936006885e-20	2.655377301442145e-16	389869968279238.8	1.0621509205768582e-17	9.311089612188075e-16	1367080380546067.2	3.724435844875233e-17
96.0	3.658864305059076e-18	1.4635457220236305e-19	5.698457250177032e-16	399224323453326.94	2.2793829000708134e-17	2.0241889453134926e-15	1418112704468176.0	8.096755781253985e-17
97.0	7.553492670201511e-18	3.0213970680806047e-19	1.204195113930365e-15	408653338177871.3	4.816780455721464e-17	4.3331558733049654e-15	1470491444440062.8	1.7332623493219924e-16
98.0	1.5367948300781417e-17	6.147179320312566e-19	2.506958981680687e-15	418155043816162.7	1.0027835926722768e-16	9.13824054133347e-15	1524237692713339.8	3.6552962165334174e-16
99.0	3.082772002369426e-17	1.2331088009477703e-18	5.144018864386241e-15	427727475812279.5	2.0576075457545057e-16	1.8994156718302957e-14	1579372650545680.0	7.597662687321313e-16
100.0	6.09968753183284e-17	2.4398750127331363e-18	1.0407568086572522e-14	437368675033582.4	4.163027234629049e-16	3.8928083023808645e-14	1635917627643212.5	1.5571233209524022e-15
101.0	1.1909414464819517e-16	4.763765785927808e-18	2.0771431764654422e-14	447076689050616.1	8.308572705861937e-16	7.869925979947502e-14	1693894041611379.8	3.147970391979237e-15
102.0	2.2954029918521833e-16	9.181611967408736e-18	4.090968775396888e-14	456849573355332.75	1.6363875101588224e-15	1.5700553906905714e-13	1753323417414060.5	6.280221562763251e-15
103.0	4.368936146731925e-16	1.747574458692771e-17	7.954152305662707e-14	466685392518719.94	3.1816609222653434e-15	3.0921561255966677e-13	1814227386840746.8	1.2368624502390514e-14
104.0	8.214798817442762e-16	3.2859195269771074e-17	1.527315526408933e-13	476582221288955.2	6.109262105636717e-15	6.014077901164578e-13	1876627687981567.5	2.4056311604673223e-14
105.0	1.5264161681749852e-15	6.105664672699951e-17	2.8972358521546397e-13	486538145631264.5	1.1588943408622198e-14	1.1555558329058136e-12	1940546164709988.2	4.6222233316289e-14
106.0	2.8038089447230983e-15	1.121523577889243e-16	5.431333944028727e-13	496551263710770.0	2.1725335776128027e-14	2.194190726040659e-12	2006004766172982.8	8.776762904183499e-14
107.0	5.092869526535653e-15	2.0371478106142735e-16	1.006557548230673e-12	506619686819612.9	4.026230192927311e-14	4.118709883509785e-12	2073025546288511.8	1.647483953411445e-13
108.0	9.15059735710852e-15	3.6602389428434486e-16	1.8446620751537735e-12	516741540249738.1	7.378648300630983e-14	7.645185369747509e-12	2141630663250117.8	3.058074147925578e-13
109.0	1.626815412913102e-14	6.507261651652541e-16	3.3440503557587097e-12	526914964112701.7	1.3376201423088318e-13	1.4037392744899544e-11	2211842379038501.8	5.614957098051538e-13
110.0	2.862552962296909e-14	1.1450211849188055e-15	5.998373416091422e-12	537138114107960.8	2.3993493664541857e-13	2.550253536552163e-11	2283683058939883.5	1.0201014146518482e-12
111.0	4.986722569550013e-14	1.9946890278201354e-15	1.0649305040940844e-11	547409162241089.1	4.259722016433165e-13	4.585651677409064e-11	2357175171071011.0	1.8342606710661147e-12
112.0	8.602784324774852e-14	3.4411137299103366e-15	1.871777210462425e-11	557726297493383.44	7.487108842029314e-13	8.163145627420436e-11	2432341285910661.0	3.265258251300354e-12
113.0	1.4700653849109568e-13	5.88026153964501e-15	3.257962308551945e-11	568087726444379.0	1.3031849234764342e-12	1.439019348923397e-10	2509204075837494.0	5.75607739674904e-12
114.0	2.488947785724362e-13	9.955791142900913e-15	5.6170319752670905e-11	578491673848748.5	2.246812790275993e-12	2.512685856706172e-10	2587786314674092.5	1.0050743430113943e-11
115.0	4.176191729110602e-13	1.670476691645238e-14	9.594952110191116e-11	588936383169097.5	3.837980844580979e-12	4.346886490959776e-10	2668110877237093.0	1.738754597389838e-11
116.0	6.9459394743022e-13	2.778375789723699e-14	1.6242628316776702e-10	599420117066189.2	6.497051328188157e-12	7.452283814213729e-10	2750200738893227.5	2.980913528705819e-11
117.0	1.1454192385029334e-12	4.581676954019564e-14	2.725501407409024e-10	609941157848062.1	1.0902005633886061e-11	1.266398590329866e-09	2834078975121184.5	5.065594370227061e-11
118.0	1.8731587134219826e-12	7.492634853709319e-14	4.534285123443478e-10	620497807879565.9	1.8137140505787655e-11	2.1336197900877804e-09	2919768761079132.5	8.534479186166633e-11
119.0	3.038448482497468e-12	1.215379393004733e-13	7.480593662589671e-10	631088389953800.4	2.992237468374643e-11	3.5646891942795206e-09	3007293371177818.0	1.4258756850671436e-10
120.0	4.889719392473523e-12	1.9558877570045992e-13	1.2241019372262972e-09	641711247626912.8	4.896407758031464e-11	5.9070918536585254e-09	3096676178659092.0	2.362836762074809e-10
121.0	7.808280997258533e-12	3.1233123989429423e-13	1.987192381751608e-09	652364745517752.9	7.948769551552021e-11	9.710903836933567e-09	3187940655179761.0	3.884361591602608e-10
