T	des_TPD_HH	des_rate_HH	des_TPD_full	des_pre_full	des_rate_full	des_TPD_Tait	des_pre_Tait	des_rate_Tait
108.0	1.027167105648142e-21	4.108668422592568e-23	5.292343911030473e-19	1429908573244058.0	2.1169375644121893e-20	5.188946409952696e-19	1401972185184511.2	2.0755785639810782e-20
109.0	2.077128542739954e-21	8.308514170959816e-23	1.1045120349010283e-18	1475735054757484.5	4.4180481396041135e-20	1.0837049440087706e-18	1447934766080701.2	4.334819776035083e-20
110.0	4.147372290013439e-21	1.6589489160053755e-22	2.275293818631701e-18	1522529724640489.5	9.101175274526803e-20	2.2340987111350127e-18	1494963713095138.2	8.936394844540051e-20
111.0	8.179347674757327e-21	3.271739069902931e-22	4.6280735727930474e-18	1570300975133517.2	1.851229429117219e-19	4.547828018050771e-18	1543073734494410.2	1.8191312072203082e-19
112.0	1.59383596997315e-20	6.3753438798926e-22	9.298319688221588e-18	1619057097451106.0	3.719327875288635e-19	9.144535315515902e-18	1592279605554199.0	3.6578141262063612e-19
113.0	3.0696306178542794e-20	1.2278522471417118e-21	1.845825871972409e-17	1668806281638383.5	7.383303487889635e-19	1.8168355056731642e-17	1642596168256735.0	7.267342022692657e-19
114.0	5.844932896866178e-20	2.3379731587464713e-21	3.621551740013993e-17	1719556616467452.8	1.448620696005597e-18	3.5678077746920004e-17	1694038330992323.2	1.4271231098768001e-18
115.0	1.100658507480015e-19	4.4026340299200595e-21	7.025016479180949e-17	1771316089370631.5	2.8100065916723795e-18	6.927076347962712e-17	1746621068264836.2	2.7708305391850847e-18
116.0	2.050357585596218e-19	8.201430342384872e-21	1.347643970749296e-16	1824092586407591.2	5.390575882997185e-18	1.3301098508730485e-16	1800359420401096.2	5.320439403492195e-18
117.0	3.77946752887403e-19	1.511787011549612e-20	2.5574099643972865e-16	1877893892263741.2	1.0229639857589147e-17	2.5265975627548636e-16	1855268493264046.8	1.0106390251019456e-17
118.0	6.895592651822837e-19	2.758237060729135e-20	4.802207836599464e-16	1932727690277110.0	1.9208831346397862e-17	4.749124577987334e-16	1911363457969652.8	1.8996498311949344e-17
119.0	1.2455599246228845e-18	4.982239698491538e-20	8.925058839516852e-16	1988601562491311.2	3.570023535806744e-17	8.835556933856555e-16	1968659550607426.5	3.5342227735426254e-17
120.0	2.228014673762624e-18	8.912058695050496e-20	1.642181278824411e-15	2045522989732183.2	6.568725115297656e-17	1.6274488442545934e-15	2027172071964529.5	6.509795377018386e-17
121.0	3.947631650451266e-18	1.5790526601805062e-19	2.9921109251404877e-15	2103499351705704.8	1.1968443700561993e-16	2.968522579810646e-15	2086916387253341.5	1.1874090319242625e-16
122.0	6.929815687406897e-18	2.771926274962759e-19	5.3998799146353835e-15	2162537927115343.0	2.1599519658541674e-16	5.363348647815044e-15	2147907925842455.5	2.1453394591260314e-16
123.0	1.2055112549580265e-17	4.822045019832106e-19	9.6547322016383e-15	2222645893796457.8	3.861892880655366e-16	9.600505433282998e-15	2210162180991009.5	3.8402021733132447e-16
