T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
69.0	1.532050466025648e-33	6.128201864102592e-35	8.033498322042858e-30	1.0224071346421374e+16	3.2133993288171435e-31	2.881171911017769e-29	3.666809402165918e+16	1.1524687644071076e-30
70.0	7.00398649251706e-33	2.8015945970068244e-34	3.768324936372962e-29	1.0490478059277822e+16	1.5073299745491848e-30	1.385200766443137e-28	3.856200962874804e+16	5.540803065772548e-30
71.0	3.069038683158247e-32	1.2276154732632988e-33	1.693078287544885e-28	1.0756399236635524e+16	6.77231315017954e-30	6.378680746811911e-28	4.052478684564691e+16	2.5514722987247647e-29
72.0	1.2912398305456495e-31	5.1649593221825977e-33	7.298998734827856e-28	1.1021700605459416e+16	2.9195994939311425e-29	2.81835006137652e-27	4.2557906510724696e+16	1.127340024550608e-28
73.0	5.224922689514715e-31	2.0899690758058858e-32	3.0243875196066186e-27	1.128625358176373e+16	1.2097550078426474e-28	1.1968346730621893e-26	4.46628599280297e+16	4.787338692248757e-28
74.0	2.0365881951220142e-30	8.146352780488057e-32	1.2063977966418421e-26	1.1549935226453498e+16	4.825591186567369e-28	4.8925866327155403e-26	4.684114879435017e+16	1.9570346530862162e-27
75.0	7.658128489776962e-30	3.063251395910785e-31	4.6395616266038724e-26	1.1812628188287806e+16	1.855824650641549e-27	1.928241181672271e-25	4.909428512777898e+16	7.712964726689084e-27
76.0	2.7819536791060827e-29	1.1127814716424332e-30	1.7227282148116167e-25	1.2074220635167924e+16	6.890912859246467e-27	7.3370545963756855e-25	5.1423791197731304e+16	2.934821838550274e-26
77.0	9.776085280560972e-29	3.910434112224389e-30	6.184406581939889e-25	1.2334606174897506e+16	2.4737626327759557e-26	2.6990243507668505e-24	5.383119945636703e+16	1.0796097403067402e-25
78.0	3.327501376232925e-28	1.33100055049317e-29	2.149209700563128e-24	1.2593683766507934e+16	8.596838802252513e-26	9.611111961552541e-24	5.6318052471371304e+16	3.8444447846210166e-25
79.0	1.0983283878621729e-27	4.3933135514486914e-29	7.239173450526159e-24	1.2851357623187344e+16	2.8956693802104636e-25	3.317044604109332e-23	5.888590286004899e+16	1.3268178416437328e-24
80.0	3.519681262508166e-27	1.4078725050032665e-28	2.3660951025212888e-23	1.310753710779489e+16	9.464380410085155e-25	1.110817143989395e-22	6.153631322469098e+16	4.44326857595758e-24
81.0	1.0962349129675051e-26	4.38493965187002e-28	7.512548727010987e-23	1.3362136621889946e+16	3.0050194908043952e-24	3.613478530863265e-22	6.427085608917142e+16	1.445391412345306e-23
82.0	3.321866140041993e-26	1.328746456016797e-27	2.319583154405689e-22	1.361507548915044e+16	9.278332617622756e-24	1.143022802848398e-21	6.70911138367383e+16	4.572091211393592e-23
83.0	9.803164533323084e-26	3.921265813329234e-27	6.971623964857987e-22	1.3866277834001398e+16	2.788649585943195e-23	3.519361658691446e-21	6.999867864895903e+16	1.4077446634765786e-22
84.0	2.8200920723290727e-25	1.1280368289316292e-26	2.0416092494549496e-21	1.4115672456224364e+16	8.166436997819798e-23	1.055759680318868e-20	7.299515244578702e+16	4.2230387212754723e-22
85.0	7.91518706818097e-25	3.166074827272388e-26	5.830689775972835e-21	1.4363192702265994e+16	2.332275910389134e-22	3.088529165013594e-20	7.608214682671469e+16	1.2354116660054376e-21
86.0	2.169352163822202e-24	8.677408655288809e-26	1.6253678452809687e-20	1.4608776333915964e+16	6.501471381123875e-22	8.818585338042453e-20	7.926128301298034e+16	3.527434135216981e-21
87.0	5.8106275989592076e-24	2.324251039583683e-25	4.426153102192873e-20	1.485236539497652e+16	1.7704612408771494e-21	2.4596012777559375e-19	8.253419179079822e+16	9.83840511102375e-21
88.0	1.5222194655091838e-23	6.0888778620367355e-25	1.1783835711856145e-19	1.5093906076499276e+16	4.713534284742458e-21	6.706422450661393e-19	8.590251345558213e+16	2.682568980264557e-20
89.0	3.903145967719244e-23	1.5612583870876976e-24	3.069442954977715e-19	1.5333348581120886e+16	1.227777181991086e-20	1.788974291692178e-18	8.936789775713278e+16	7.155897166768712e-20
90.0	9.802647917905006e-23	3.921059167162003e-24	7.828126363897276e-19	1.5570646986986768e+16	3.1312505455589106e-20	4.672146699895114e-18	9.293200384576299e+16	1.8688586799580458e-19
91.0	2.4130006167983126e-22	9.65200246719325e-24	1.956052722065014e-18	1.580575911171087e+16	7.824210888260056e-20	1.1954367130395176e-17	9.659650021933323e+16	4.78174685215807e-19
92.0	5.825570611772749e-22	2.3302282447090996e-23	4.7919684208178035e-18	1.6038646376780142e+16	1.9167873683271215e-19	2.9986111372654644e-17	1.0036306467117243e+17	1.1994444549061858e-18
93.0	1.3802446054509972e-21	5.520978421803989e-23	1.1516804314793e-17	1.6269273672776454e+16	4.6067217259172e-19	7.37854383355957e-17	1.0423338423885982e+17	2.9514175334238277e-18
94.0	3.2112071829908518e-21	1.2844828731963407e-22	2.7170467032430544e-17	1.649760922575167e+16	1.0868186812972218e-18	1.7821329396779448e-16	1.0820915515384403e+17	7.12853175871178e-18
95.0	7.340448501840225e-21	2.93617940073609e-22	6.295942709688718e-17	1.672362446506075e+16	2.518377083875487e-18	4.22745991149422e-16	1.1229208279187752e+17	1.6909839645976887e-17
96.0	1.6495137542040773e-20	6.5980550168163095e-22	1.433719085811409e-16	1.694729389292233e+16	5.734876343245637e-18	9.854385327194956e-16	1.1648388162424338e+17	3.9417541308779857e-17
97.0	3.645824147419968e-20	1.4583296589679872e-21	3.2102454305197545e-16	1.7168594955951166e+16	1.284098172207902e-17	2.2585050723606266e-15	1.2078627516975523e+17	9.034020289442523e-17
98.0	7.929760231702579e-20	3.1719040926810315e-21	7.071396045823622e-16	1.738750791887449e+16	2.8285584183294505e-17	5.0918500328349374e-15	1.2520099594750854e+17	2.0367400131339832e-16
99.0	1.69808072514706e-19	6.79232290058824e-21	1.5331259870135076e-15	1.7604015740622132e+16	6.132503948054038e-17	1.129810994624501e-14	1.2972978543036456e+17	4.519243978498045e-16
100.0	3.5817197407291056e-19	1.4326878962916424e-20	3.2731119029815027e-15	1.7818103952951368e+16	1.3092447611926048e-16	2.4684019669875164e-14	1.3437439399914867e+17	9.873607867950268e-16
101.0	7.4447995032656385e-19	2.9779198013062554e-20	6.884156418066919e-15	1.8029760541748964e+16	2.753662567226784e-16	5.312538589493445e-14	1.3913658089754386e+17	2.1250154357974737e-15
102.0	1.5255560674136343e-18	6.102224269654537e-20	1.427040786504314e-14	1.823897583112841e+16	5.70816314601733e-16	1.1268161372880006e-13	1.4401811418766298e+17	4.507264549152445e-15
103.0	3.08315649890038e-18	1.233262599560152e-19	2.916751789309465e-14	1.844574237042168e+16	1.1667007157238178e-15	2.3564061064776105e-13	1.4902077070628227e+17	9.425624425912432e-15
104.0	6.147900767791072e-18	2.459160307116429e-19	5.880506392345743e-14	1.8650054824148144e+16	2.35220255693843e-15	4.860353081420243e-13	1.5414633602172054e+17	1.944141232568965e-14
105.0	1.2100050303158741e-17	4.840020121263497e-19	1.169904186293522e-13	1.8851909865021416e+16	4.679616745174627e-15	9.891769910498964e-13	1.5939660439134755e+17	3.956707964203276e-14
106.0	2.3514488207767676e-17	9.40579528310707e-19	2.297566284751283e-13	1.9051306070047156e+16	9.190265139007267e-15	1.987148588020008e-12	1.6477337871970634e+17	7.948594352095308e-14
107.0	4.5136200603025526e-17	1.805448024121021e-18	4.4557813856478657e-13	1.924824381974237e+16	1.7823125542599696e-14	3.9417811121369784e-12	1.7027847051723696e+17	1.5767124448609549e-13
108.0	8.560577082940744e-17	3.4242308331762977e-18	8.536266098440731e-13	1.944272520049953e+16	3.4145064393793915e-14	7.723434533311362e-12	1.7591369985958314e+17	3.0893738133487987e-13
109.0	1.6047661539580129e-16	6.4190646158320524e-18	1.6160134949102275e-12	1.963475391010451e+16	6.464053979652294e-14	1.49530154535699e-11	1.816808953474737e+17	5.981206181521112e-13
110.0	2.9743228915882876e-16	1.1897291566353152e-17	3.0240885918141693e-12	1.9824335166406572e+16	1.209635436729753e-13	2.8614541728756307e-11	1.875818940671602e+17	1.1445816691851932e-12
111.0	5.452104796730789e-16	2.180841918692317e-17	5.595656847897941e-12	2.0011475619129196e+16	2.2382627391735044e-13	5.414008134509146e-11	1.936185415514011e+17	2.1656032539317363e-12
112.0	9.88706536268263e-16	3.9548261450730565e-17	1.0241049675938004e-11	2.0196183264802292e+16	4.0964198704243467e-13	1.013105721003931e-10	1.997926917409798e+17	4.05242288447479e-12
113.0	1.7742739683496194e-15	7.097095873398493e-17	1.8543852472382894e-11	2.037846736478683e+16	7.41754098911811e-13	1.8755105701088735e-10	2.0610620694674307e+17	7.502042282045377e-12
114.0	3.1516841240758286e-15	1.2606736496303363e-16	3.323062108562195e-11	2.05583383663575e+16	1.3292248434790863e-12	3.43584803315573e-10	2.1256095781215005e+17	1.3743392138149737e-11
115.0	5.543039702191153e-15	2.2172158808764767e-16	5.894903677067978e-11	2.0735807826802132e+16	2.35796147100171e-12	6.23038254943594e-10	2.1915882327631747e+17	2.4921530216328452e-11
116.0	9.654888381264819e-15	3.8619553525059765e-16	1.0354461194785542e-10	2.091088834048994e+16	4.141784478464915e-12	1.1185991946060497e-09	2.2590169053755526e+17	4.474396784548604e-11
117.0	1.665894148456142e-14	6.663576593824716e-16	1.8013570384579788e-10	2.1083593468858244e+16	7.2054281555360444e-12	1.9889423767534664e-09	2.3279145501737613e+17	7.955769526802776e-11
