T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
108.0	1.4291498414073043e-12	5.71659936564041e-14	3.353925947724848e-10	558533737778031.4	1.3415703796754509e-11	8.418669399634494e-10	1401972185184511.2	3.367467763460116e-11
109.0	2.4156328214568687e-12	9.662531285860203e-14	5.795356189055087e-10	570982659543584.4	2.3181424774112474e-11	1.4696239120619238e-09	1447934766080701.2	5.878495659492057e-11
110.0	4.044848599956003e-12	1.6179394399917899e-13	9.917380112438265e-10	583536997579559.8	3.9669520503361095e-11	2.5407340800070746e-09	1494963713095138.2	1.0162936354403614e-10
111.0	6.711218282922999e-12	2.6844873131956355e-13	1.6811868452283498e-09	596194996404719.4	6.724747396670181e-11	4.351252979320546e-09	1543073734494410.2	1.7405012020374746e-10
112.0	1.1036563282379587e-11	4.4146253130249367e-13	2.8238737600732244e-09	608954899498099.8	1.1295495085749254e-10	7.383792416198922e-09	1592279605554199.0	2.9535169968252037e-10
113.0	1.799292120250852e-11	7.197168481202018e-13	4.700987834668811e-09	621814950176778.2	1.8803951467447797e-10	1.241820338764781e-08	1642596168256735.0	4.96728144277237e-10
114.0	2.9087285261662825e-11	1.1634914105195549e-12	7.757971720396069e-09	634773392431180.8	3.103188723997627e-10	2.0703925807727542e-08	1694038330992323.2	8.281570572170868e-10
115.0	4.663729483465219e-11	1.8654917935253946e-12	1.2694618882464368e-08	647828471719222.8	5.077847651024382e-10	3.4226171068117585e-08	1746621068264836.2	1.3690469122453553e-09
116.0	7.417949274799875e-11	2.9671797102799075e-12	2.060143294749755e-08	660978435720555.4	8.240573442711732e-10	5.611375486767588e-08	1800359420401096.2	2.2445503855084063e-09
117.0	1.170693721288102e-10	4.682774886067855e-12	3.316440264103341e-08	674221535052213.0	1.3265761754234563e-09	9.125912281444866e-08	1855268493264046.8	3.650365427718444e-09
118.0	1.8335688762472128e-10	7.334275507281265e-12	5.2970195467443056e-08	687556023946892.8	2.1188080004227536e-09	1.4725386384229307e-07	1911363457969652.8	5.890155922442488e-09
119.0	2.8505482814581993e-10	1.1402193131487357e-11	8.395766676877892e-08	700980160895224.2	3.358307136675213e-09	2.357898724320537e-07	1968659550607426.5	9.431598477830447e-09
120.0	4.399636415918148e-10	1.7598545677416593e-11	1.3208104067080329e-07	714492209253205.6	5.2832428033862166e-09	3.747429128870001e-07	2027172071964529.5	1.498972574050369e-08
121.0	6.742791624320472e-10	2.6971166530211986e-11	2.0627718936311787e-07	728090437816184.9	8.251090501817572e-09	5.912493159022652e-07	2086916387253341.5	2.3649996053513224e-08
122.0	1.0262946867937119e-09	4.1051787549550494e-11	3.198668421086925e-07	741773121360483.9	1.2794680862850363e-08	9.262182796338847e-07	2147907925842455.5	3.704878977487995e-08
123.0	1.5516230438899423e-09	6.206492193692104e-11	4.925709050855184e-07	755538541154030.5	1.9702853560068598e-08	1.4409057323165043e-06	2210162180991009.5	5.763637382356902e-08
124.0	2.330516834429218e-09	9.32206737941573e-11	7.533931190990514e-07	769384985437148.4	3.013576615517824e-08	2.2264296425461924e-06	2273694709586293.5	8.905753734903871e-08
125.0	3.4780674973751018e-09	1.3912270084154635e-10	1.1447152395818989e-06	783310749874671.9	4.5788706970568785e-08	3.4174558968780356e-06	2338521131884556.5	1.3669907998770224e-07
126.0	5.158331146965916e-09	2.06333248000097e-10	1.7280788717303429e-06	797314137980613.2	6.91233810132516e-08	5.211761234943523e-06	2404657131254973.0	2.0847244915405182e-07
127.0	7.603779940169322e-09	3.041512023028825e-10	2.592299471640464e-06	811393461516475.5	1.036924972947833e-07	7.898028310149324e-06	2472118453926661.0	3.159258094304586e-07
128.0	1.1141935677566959e-08	4.4567743737279313e-10	3.8647862340793065e-06	825547040864364.1	1.545926230269838e-07	1.1895103826299018e-05	2540920908738741.5	4.758149551051046e-07
129.0	1.623163692580388e-08	6.492654992277931e-10	5.727243726246469e-06	839773205375954.8	2.2909237370719967e-07	1.7807126376123817e-05	2611080366893352.0	7.123096990503139e-07
130.0	2.3512158926724457e-08	9.404864044858594e-10	8.437328858603823e-06	854070293698394.1	3.374989539289044e-07	2.6500498895409224e-05	2682612761711544.5	1.0600755084846688e-06
131.0	3.3869392449799585e-08	1.3547757981499635e-09	1.235835735836488e-05	868436654078211.8	4.943469601646263e-07	3.921075907819693e-05	2755534088392044.0	1.5685541298029231e-06
132.0	4.8524549663651794e-08	1.940982195781921e-09	1.799983132035708e-05	882870644644153.4	7.200205989765202e-07	5.769013636749782e-05	2829860403772797.5	2.3078780513374953e-06
133.0	6.915247088490498e-08	2.7660992678025265e-09	2.607243563892914e-05	897370633670004.6	1.0429558097286344e-06	8.441015572902259e-05	2905607826095242.5	3.3769999254660427e-06
134.0	9.803863975444663e-08	3.9215464743923755e-09	3.756227739513376e-05	911934999818299.4	1.5026143882629198e-06	0.00012283826961743578	2982792534771266.5	4.914809696791498e-06
