T	370_TPD_kooji	370_TPD_full	370_rate_full	370_rate_kooji	ratio
238.0	0.0	0.0	83244265.6754106	84794275.96371451	0.9817203429041932
239.0	0.0	0.0	89927270.04825231	91518586.64966951	0.9826120937869297
240.0	0.0	0.0	97086511.25690092	98717169.56876025	0.9834815126995359
241.0	0.0	0.0	104751441.12543292	106419169.59112996	0.9843286837126753
242.0	0.0	0.0	112953037.54457478	114655244.53658368	0.9851536927169018
243.0	0.0	0.0	121723866.68254197	123457628.15952384	0.9859566273641542
244.0	0.0	0.0	131098146.9186488	132860195.02353355	0.9867375770103857
245.0	0.0	0.0	141111814.51516777	142898527.2943813	0.9874966326592522
246.0	0.0	0.0	151802591.04199302	153609983.4798145	0.9882338869071033
247.0	0.0	0.0	163210052.56760654	165033769.1441014	0.988949433888876
248.0	0.0	0.0	175375700.62891173	177211009.62483215	0.9896433692251633
249.0	0.0	0.0	188343034.99142364	190184824.77902845	0.9903157899703894
250.0	0.0	0.0	202157628.21025023	204000405.7851349	0.9909667945620383
251.0	0.0	0.0	216867202.00119644	218705094.0269529	0.9915964827708588
252.0	0.0	0.0	232521705.4302677	234348462.08506933	0.9922049556521582
253.0	0.0	0.0	249173394.92867628	250982396.86077577	0.9927923154981145
254.0	0.0	0.0	266876916.1393308	268661184.8569282	0.993358665791087
255.0	0.0	0.0	285689387.5996101	287441599.6396085	0.9939041111579002
256.0	0.0	0.0	305670486.26406574	307382991.5038636	0.9944287573251225
257.0	0.0	0.0	326882534.86946	328547379.36617154	0.9949327110752691
258.0	0.0	0.0	349390591.14339435	350999544.9056752	0.995416080203998
259.0	0.0	0.0	373262538.85647386	374807128.9755518	0.9958789734781734
260.0	0.0	0.0	398569180.7168212	400040730.3052571	0.9963215005949194
261.0	0.0	0.0	425384333.1043696	426774006.5136752	0.9967437721414716
262.0	0.0	0.0	453784922.6412788	455083777.4525472	0.9971458995560354
263.0	0.0	0.0	483851084.5933476	485050130.8988234	0.9975279950893862
264.0	0.0	0.0	515666263.0962221	516756530.6138696	0.9978901717674427
265.0	0.0	0.0	549317313.1987543	550289926.786759	0.9982325433545841
266.0	0.0	0.0	584894604.7146852	585740868.878092	0.9985552243178323
267.0	0.0	0.0	622492127.8725396	623203620.8800755	0.9988583297919048
268.0	0.0	0.0	662207600.7521555	662776279.0078074	0.9991419755448956
269.0	0.0	0.0	704142578.4953618	704560891.8359503	0.9994062779449787
270.0	0.0	0.0	748402564.2765094	748663582.894189	0.9996513539276606
271.0	0.0	0.0	795097122.017754	795194675.7340833	0.999877320963902
272.0	0.0	0.0	844339990.8324239	844268821.4791188	1.000084297028973
273.0	0.0	0.0	896249201.1786009	896005128.8689674	1.0002724005720163
274.0	0.0	0.0	950947192.703723	950527296.8081232	1.000441750486293
275.0	0.0	0.0	1008560933.7599688	1007963749.4283208	1.00059246608024
276.0	0.0	0.0	1069222042.5684614	1068447773.6732414	1.0007246670490577
277.0	0.0	0.0	1133066910.0096524	1132117659.4132376	1.0008384734471034
278.0	0.0	0.0	1200236824.0155368	1199116842.0969584	1.0009340056608826
279.0	0.0	0.0	1270878095.5383866	1269594047.945907	1.0010113843827142
280.0	0.0	0.0	1345142186.0693295	1343703441.697132	1.001070730585002
281.0	0.0	0.0	1423185836.6790414	1421604776.8984	1.0011121654951742
282.0	0.0	0.0	1505171198.5514505	1503463548.7593813	1.001135810571183
283.0	0.0	0.0	1591265964.9804103	1589451149.561464	1.0011417874776756
284.0	0.0	0.0	1681643504.7977772	1679745026.62805	1.0011302180626414
285.0	0.0	0.0	1776482997.2008092	1774528842.8562825	1.0011012243347825
286.0	0.0	0.0	1875969567.9448192	1873992639.8102927	1.001054928441302
287.0	0.0	0.0	1980294426.8668509	1978333003.3752692	1.000991452646362
288.0	0.0	0.0	2089655006.7042472	2087753231.9707596	1.0009109193099859
289.0	0.0	0.0	2204255103.171596	2202463507.3207345	1.0008134508675883
290.0	0.0	0.0	2324305016.257944	2322681067.777211	1.0006991698099503
291.0	0.0	0.0	2450021692.7055774	2448630384.193311	1.0005681986637296
292.0	0.0	0.0	2581628869.6305017	2580543338.3407383	1.0004206599725085
293.0	0.0	0.0	2719357219.2435546	2718659403.866026	1.0002566762782188
294.0	0.0	0.0	2863444494.630954	2863225829.778839	1.0000763701032034
295.0	0.0	0.0	3014135676.550914	3014497826.464964	0.9998798639326024
296.0	0.0	0.0	3171683121.203338	3172738754.2157254	0.9996672801972792
297.0	0.0	0.0	3336346708.9279003	3338220314.2647686	0.9994387412571717
298.0	0.0	0.0	3508393993.785554	3511222742.3223705	0.9991943693851374
299.0	0.0	0.0	3688100353.976651	3692035004.596576	0.9989342867510664
