T	33_TPD_HH	33_rate_HH	33_TPD_full	33_pre_full	33_rate_full	33_TPD_Tait	33_pre_Tait	33_rate_Tait
157.0	0.0	5685.7515969120695	0.0	205860412833841.9	688370.2442455161	0.0	7932502461829285.0	26525248.744813155
158.0	0.0	6465.615563990568	0.0	206380152339171.97	784764.1857024091	0.0	8110754131816047.0	30841286.284286536
159.0	0.0	7341.093892292279	0.0	206883951461681.6	893200.4825097625	0.0	8291848666581380.0	35799215.82878403
160.0	0.0	8322.481895301455	0.0	207371986118180.06	1014995.9607283957	0.0	8475813097917292.0	41485430.21318285
161.0	0.0	9421.02365616243	0.0	207844432452202.66	1151589.9272219571	0.0	8662674542755932.0	47996709.021945626
162.0	0.0	10648.983807371667	0.0	208301466746114.78	1304553.4040971354	0.0	8852460202903101.0	55441314.32548859
163.0	0.0	12019.723428920252	0.0	208743265336805.75	1475598.8743072113	0.0	9045197364774244.0	63940185.22136274
164.0	0.0	13547.780209859033	0.0	209170004534867.8	1666590.553490916	0.0	9240913399132910.0	73628238.4793623
165.0	0.0	15248.953018210339	0.0	209581860547159.56	1879555.2027754013	0.0	9439635760831612.0	84655782.99694243
166.0	0.0	17140.391023830078	0.0	209979009402648.8	2116693.4968811753	0.0	9641391988555060.0	97190056.19234681
167.0	0.0	19240.68751823645	0.0	210361626881436.5	2380391.961429506	0.0	9846209704565728.0	111416890.89763233
168.0	0.0	21569.978574546978	0.0	210729888446859.7	2673235.492867112	0.0	1.0054116614451728e+16	127542521.7621891
169.0	0.0	24150.046689526473	0.0	211083969180589.56	2998020.473892835	0.0	1.0265140506876978e+16	145795540.6394443
170.0	0.0	27004.429548317745	0.0	211424043720620.56	3357768.496693372	0.0	1.0479309253333534e+16	166429010.9049637
171.0	0.0	30158.534050719485	0.0	211750286202059.72	3755740.7056733435	0.0	1.069665080789622e+16	189722751.14308068
172.0	0.0	33639.75573589269	0.0	212062870200635.97	4195452.770700051	0.0	1.0917193206979318e+16	215985799.14133313
173.0	0.0	37477.60374011046	0.0	212361968678838.8	4680690.501174831	0.0	1.1140964569095516e+16	245559067.64715844
174.0	0.0	41703.831419619055	0.0	212647753934597.94	5215526.110492801	0.0	1.1367993094616838e+16	278818203.86925536
175.0	0.0	46352.57276786462	0.0	212920397552425.44	5804335.139664078	0.0	1.1598307065537744e+16	316176665.24664074
176.0	0.0	51460.484753245146	0.0	213180070356944.7	6451814.048041188	0.0	1.183193484524025e+16	358089024.56130683
177.0	0.0	57066.895700197594	0.0	213426942368711.94	7162998.478233504	0.0	1.2068904878261008e+16	405054518.0354038
178.0	0.0	63213.95983279006	0.0	213661182762277.16	7943282.2013890045	0.0	1.2309245690060484e+16	457620850.63045204
179.0	0.0	69946.81809613932	0.0	213882959826392.94	8798436.74809444	0.0	1.2552985886793974e+16	516388273.35439724
